epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2664.84,1.07124,0.61535,1.16083,0.94154,0.92279,0.96119,0.61248,1.38912,0.61389,1.42866,0.0079408,0.0079408,0.0079408
106,2693.85,1.07009,0.61908,1.15465,0.93901,0.91176,0.95807,0.62087,1.36341,0.6183,1.41035,0.007921,0.007921,0.007921
107,2722.7,1.05989,0.60963,1.14136,0.93627,0.90739,0.95238,0.61422,1.37267,0.62547,1.42373,0.0079012,0.0079012,0.0079012
108,2751.61,1.05279,0.61302,1.14166,0.94308,0.92617,0.96672,0.61927,1.38557,0.60781,1.40112,0.0078814,0.0078814,0.0078814
109,2777.15,1.07111,0.60731,1.14638,0.94272,0.90751,0.95245,0.61346,1.36158,0.60773,1.41738,0.0078616,0.0078616,0.0078616
110,2799.09,1.05561,0.60756,1.15055,0.95626,0.91989,0.95374,0.61626,1.36339,0.61193,1.41302,0.0078418,0.0078418,0.0078418
111,2821.1,1.04616,0.60395,1.13777,0.94848,0.92741,0.9585,0.60966,1.37838,0.60528,1.42359,0.007822,0.007822,0.007822
112,2843.07,1.05439,0.59803,1.14852,0.96005,0.92703,0.96197,0.61934,1.3647,0.60231,1.39858,0.0078022,0.0078022,0.0078022
113,2865.02,1.04239,0.59955,1.13436,0.94869,0.92109,0.95719,0.61464,1.38002,0.60335,1.40634,0.0077824,0.0077824,0.0077824
114,2887.06,1.02553,0.58672,1.13542,0.93322,0.92284,0.95523,0.62505,1.34642,0.61903,1.4173,0.0077626,0.0077626,0.0077626
115,2909.07,1.04287,0.59726,1.14069,0.94479,0.91344,0.95779,0.62206,1.37013,0.61944,1.42178,0.0077428,0.0077428,0.0077428
116,2931.11,1.03989,0.59764,1.14077,0.94582,0.9265,0.96369,0.62768,1.36493,0.60318,1.40835,0.007723,0.007723,0.007723
117,2952.91,1.03951,0.59384,1.13574,0.95797,0.91662,0.96365,0.63004,1.33921,0.58843,1.39049,0.0077032,0.0077032,0.0077032
118,2974.83,1.02561,0.58406,1.13193,0.93782,0.93961,0.96963,0.62316,1.36723,0.60021,1.40154,0.0076834,0.0076834,0.0076834
119,2996.76,1.03354,0.58643,1.12799,0.949,0.9177,0.9613,0.61754,1.38307,0.58296,1.43156,0.0076636,0.0076636,0.0076636
120,3018.7,1.02566,0.58459,1.13537,0.93782,0.92511,0.95751,0.62225,1.38319,0.61208,1.42989,0.0076438,0.0076438,0.0076438
121,3040.61,1.04063,0.58778,1.14707,0.94416,0.91506,0.95473,0.6108,1.37981,0.60912,1.4356,0.007624,0.007624,0.007624
122,3062.63,1.019,0.58179,1.12638,0.94401,0.91051,0.95407,0.6182,1.37866,0.61077,1.43653,0.0076042,0.0076042,0.0076042
123,3084.69,1.0121,0.57376,1.12836,0.94474,0.9172,0.95511,0.62276,1.38125,0.59219,1.42529,0.0075844,0.0075844,0.0075844
124,3106.66,1.01246,0.57288,1.12595,0.95472,0.92708,0.96419,0.62306,1.36985,0.59662,1.42328,0.0075646,0.0075646,0.0075646
125,3128.6,0.99644,0.56292,1.11156,0.95222,0.92921,0.96016,0.6272,1.3496,0.58907,1.39389,0.0075448,0.0075448,0.0075448
126,3150.53,1.0175,0.57599,1.11778,0.94781,0.91045,0.95942,0.62342,1.36535,0.60748,1.41247,0.007525,0.007525,0.007525
127,3172.44,1.01028,0.56909,1.12099,0.95463,0.92989,0.96225,0.62372,1.35884,0.60984,1.42075,0.0075052,0.0075052,0.0075052
128,3194.57,1.00231,0.56674,1.11625,0.93297,0.94348,0.96662,0.62824,1.35185,0.58733,1.41812,0.0074854,0.0074854,0.0074854
129,3216.48,1.01146,0.56642,1.11379,0.94613,0.92712,0.95994,0.61726,1.36577,0.60933,1.40721,0.0074656,0.0074656,0.0074656
130,3238.55,0.98936,0.56869,1.11117,0.95947,0.92543,0.96135,0.62761,1.34712,0.59734,1.40571,0.0074458,0.0074458,0.0074458
131,3260.46,0.98757,0.56369,1.10763,0.93523,0.93326,0.95602,0.61315,1.35781,0.5867,1.41741,0.007426,0.007426,0.007426
